Covidence,Study_ID,Title,Author,Year,Product,Kind_of_paper,Journal_Conference,Grouping,Disc_STEM,Disc_Sci,Disc_Tech,Disc_Eng,Disc_Math,Disc_CS,Disc_EngDisc,Disc_Other,Disc_Othertext,Students_UGCC,Students_UG1st,Students_UG2plus,Students_Grad,Targets_Women,Targets_Hispanic,Targets_Black,Targets_URM,Targets_LowIncome,Targets_TransferStudents,Targets_Firstgen,Targets_HawaiianPacIs,Targets_Asian,Targets_AmIndian,Targets_disabilities,Targets_Veterans,Programs_recruit,Programs_course,Programs_advising,Programs_career,Programs_cohort,Programs_acadsupport,Programs_mentorpeer,Programs_mentorfaculty,Programs_mentoralumni,Programs_mentorindustry,Programs_fieldtrip,Programs_meetings,Programs_research,Programs_intern,Programs_studyabroad,Programs_activities,Programs_retreat,Programs_workshop,Programs_service,Programs_peer,Programs_community,Programs_focusgroups,Programs_profdev,Programs_seminar,Programs_tutoring,Programs_summerbridge,Success_transfer,Success_retention,Success_graduation,Success_timetodegree,Success_affect,Success_placement,Success_access,Success_participation,Success_other,Success_undefined,LInc_pell,LInc_cost,LInc_undef,LInc_O_finNeed,About_partners,Inter_highered,Inter_K12,Inter_industry,Inter_other,Intra_college,Intra_admissions,Intra_finaid,Intra_acadsupport,Intra_studentlife,Intra_career,Intra_other,Intra_othertext,Intra_none,Research_design,RQ_list,RQ_subject,Methods_list,Counting,Survey,Student.Reflections,Student.Interview,Faculty.Staff.Interview,Focus.Group,Other,framework,fw_belonging,fw_change,fw_identity,fw_learning,fw_motivation,fw_program,fw_socialcog,fw_studentinvolvement,fw_system,fw_none,Implications_list
1,TemplerRodrigues 2022,A Qualitative Evaluation of the Missouri State University S-STEM Program Highlighting the Importance of Taking an Intersectional Approach in Program Evaluations.,Templer Rodrigues,2022,Journal article,Overview of program,Journal of STEM Education: Innovations & Research,STEM Education Journal,0,1,0,1,1,1,0,0,NA,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,No,0,0,0,0,0,1,1,1,0,0,0,NA,0,Descriptive,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"An intersectional approach in program evaluation is one way to uncover the complexity of student experiences and to craft more inclusive STEM interventions.
Conducting an intersectional analysis at a PWI, where most program participants were white men, required methodological flexibility in our program evaluation. "
3,Wright 2021,Increasing Retention of STEM Students with Financial Need via the NSF S-STEM DESIRE Scholarship Program.,Wright,2021,Journal article,Overview of program,Journal of STEM Education: Innovations & Research,STEM Education Journal,1,1,1,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,No,0,0,1,0,0,1,0,1,0,1,0,NA,0,Descriptive,,NA,Multi-mixed,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Our research, along with prior studies, suggests that programs can maximize chances for retention among STEM students from diverse income, race/ethnicity and first-generation college student backgrounds by providing five sets of strategies, in addition to financial scholarships."
6,Kalevitch 2015,"Building a Community of Scholars: One University's Story of Students Engaged in Learning Science, Mathematics, and Engineering Through a NSF S-STEM Grant - Part II.",Kalevitch,2015,Journal article,Overview of program,Journal of STEM Education: Innovations & Research,STEM Education Journal,0,1,0,1,1,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,No,0,0,0,1,1,1,1,1,1,1,0,NA,0,Descriptive,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"As a continuation of the first article, it confirms that a Living-Learning Cohort model was beneficial to these students during their undergraduate studies."
8,Wilson 2012,Increasing Access for Economically Disadvantaged Students: The NSF/CSEM & S-STEM Programs at Louisiana State University.,Wilson,2012,Journal article,Overview of program,Journal of Science Education & Technology,Science Education Journal,1,0,0,1,0,1,0,0,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,No,1,1,1,0,1,1,1,1,0,1,0,NA,0,Comparative (matched sample w non-participants),,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Using NSF/CSEMS and NSF/S-STEM projects, LSU/OSI
has developed a very successful mentoring program for
economically disadvantaged students based on the fol-
lowing indicators: (a) The costs for college education have been leveraged efficiently and effectively; (b) Graduation rates have increased; (c) More students have received regional/national awards and recognitions; and (d) Student performance (e.g., GPA) has improved."
14,FANG 2019,Impacts of Industry Seminars and a Student Design Competition in an Engineering Education Scholarship Program.,Fang,2019,Journal article,Research/evaluation,International Journal of Engineering Education,Engineering Education Journal,0,0,0,0,0,0,1,1,"mechanical, aerospace, civil, and environmental engineering",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,No,1,0,1,0,0,1,1,1,0,0,0,NA,0,Comparative (matched sample w non-participants),"This paper describes the overall framework of the NSF-funded SSTEM program at Utah State University, including program goals and student recruitment and selection.",Student Support - Program Evaluation,Qualitative,0,1,0,1,0,0,,none,0,0,0,0,0,0,0,0,0,1,"This paper has described the overall framework of
the S-STEM program at USU, including program
goals as well as student recruitment and selection"
15,Kalevitch 2012,"Building a Community of Scholars: One University's Story of Students Engaged in Learning Science, Mathematics, and Engineering Through a NSF S-STEM Grant.",Kalevitch,2012,Journal article,Overview of program,Journal of STEM Education: Innovations & Research,STEM Education Journal,1,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,No,0,0,0,1,1,1,0,0,1,1,0,NA,0,Comparative (matched sample w non-participants),,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Overall, the cohortâ€™s first year went well. Of 
the original 21 students in the cohort, four stu-
dents left for various reasons, from transferring 
to other universities closer to their homes to 
leaving because of medical and disciplinary rea-
sons.
 Findings from this 
study suggest that ways should be explored 
to improve studentsâ€™ sense of self-efficacy that 
may lead to even higher levels of academic 
progress and with less variation among STEM 
majors"
17,Washburn 2022,How NSF S-STEM Scholarship Students Experience College during COVID-19: Lessons to Improve STEM Education,Washburn,2022,Journal article,Research/evaluation,Community College Journal of Research and Practice,Community College Journal,1,0,0,0,0,0,0,0,NA,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,No,0,0,0,1,1,1,1,1,0,0,0,NA,0,Cross-sectional only focused on program,"What changes were made to the EvCC STEM Scholar program during COVID-19? 
How did students experience college during COVID-19, and more specifically, how did they experience the EvCC S-STEM Scholar program? 
What challenges and successes did students experience during COVID-19, and how did they plan to progress toward completing their education and securing a STEM career?",Transfer Students - Student Support - COVID,Multi-mixed,0,0,1,1,0,0,,none,0,0,0,0,0,0,0,0,0,1,"The findings reveal student experiences and perspectives on the EvCC STEM Scholar program. The 
challenges of pursuing a college education in STEM during the pandemic were prominent in the 
student interviews, and many also described experiences achieving successes despite changes to their education.
e equitable outcomes in the STEM pathway.
Given the challenges that many community colleges faced during the pandemic, including the faculty and staff at EvCC, lessons on using data to improve programs and services in the STEM pathway emerged during the pandemic."
22,Fang 2019,Impacts of Industry Seminars and a Student Design Competition in an Engineering Education Scholarship Program,Fang,2019,Journal article,Overview of program,International Journal of Engineering Education,Engineering Education Journal,0,0,0,1,0,0,0,0,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,No,0,0,1,0,0,1,1,1,0,0,0,NA,0,Cross-sectional only focused on program,"That is your overall learning experience with
this S-STEM industry seminar?
(a) Highly positive
(b) Positive
(c) Neutral
(d) Negative
(e) Highly negative
2. Describe specific things that you have learned
from the speakerâ€™s talk and that are useful to you.
3. Describe how you will apply what you have learned to your undergraduate or concurrent B.S./M.S. study
",NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"This paper has described the overall framework of
the S-STEM program at USU, including program
goals as well as student recruitment and selection"
27,Whitman 2012,Great Expectations: Engineering Kansas Scholars,Whitman,2012,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,0,0,0,1,0,0,0,0,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,Yes,0,0,1,0,1,0,1,1,0,0,0,NA,0,Cross-sectional only focused on program,,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The key interventions implemented were: earlier engineering involvement, mentoring, cohort scheduling, tutoring, community-building (engineering floor), and cooperative education. As the program continues, additional plans for success will be implemented.
The GEEKS program has successfully provided scholarships to over 50 academically talented, financially needy students. The program has implemented student success programs that have contributed to the retention rate of scholarship recipients"
31,Coleman 2019,Does S-STEM Pay? A return on investment analysis,Coleman,2019,Conference paper/proceeding,Research/evaluation,International Conference on Computational Science and Computational Intelligence (CSCI),Technical Conference,1,1,1,1,1,0,0,0,NA,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0,0,1,0,0,0,1,Graduation,0,,"What are the measurable benefits for taxpayers who pay the bill? 
What is the return on investment? 
Are these good investments?",S-STEM as a whole Program Evaluation,Qualitative,0,0,0,1,0,0,,none,0,0,0,0,0,0,0,0,0,1,"The data suggests taxpayers probably to do well from an 
investment perspective when they support talented, 
underrepresented, Pell Grant-eligible students majoring in Computer Science and Information Technology Systems"
